City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Teya,RU,1617995802,60.3778,92.6267,97,97,24.89,2.06
Richards Bay,ZA,1617995802,-28.783,32.0377,0,87,68.9,1.3
Kulhudhuffushi,MV,1617995803,6.6221,73.07,0,75,82.31,5.44
Airai,TL,1617995728,-8.9266,125.4092,87,84,57.04,1.54
Bojnourd,IR,1617995803,37.4747,57.329,0,31,60.8,6.91
Vestmannaeyjar,IS,1617995804,63.4427,-20.2734,4,52,31.75,14.56
Rikitea,PF,1617995606,-23.1203,-134.9692,61,71,77.58,9.78
Ko Samui,TH,1617995804,9.5357,99.9357,6,67,83.8,3.13
Albany,US,1617995704,42.6001,-73.9662,75,40,70.0,14.97
Gornopravdinsk,RU,1617995805,60.05,69.9,94,95,35.17,6.44
Ati,TD,1617995806,13.2154,18.3353,0,6,91.53,8.08
Suihua,CN,1617995806,46.6406,126.9969,100,31,40.91,10.42
Hilo,US,1617995732,19.7297,-155.09,40,53,75.2,5.75
Medak,IN,1617995806,18.0333,78.2667,32,43,82.0,1.99
Kasane,BW,1617995807,-17.8167,25.15,0,45,68.0,2.3
Nishihara,JP,1617995807,26.1842,127.7558,40,64,69.8,10.36
Mahébourg,MU,1617995765,-20.4081,57.7,75,100,73.4,4.61
Mataura,NZ,1617995808,-46.1927,168.8643,100,90,45.0,1.01
Ushuaia,AR,1617995685,-54.8,-68.3,20,57,46.4,23.02
Ngora,UG,1617995809,1.4314,33.7772,100,81,68.43,7.36
Jinchang,CN,1617995809,38.4953,102.1739,100,57,48.88,3.44
Methóni,GR,1617995809,36.8197,21.7049,18,53,50.0,3.44
Vanino,RU,1617995810,49.0869,140.2543,7,78,25.12,3.69
Grindavik,IS,1617995810,63.8424,-22.4338,40,100,30.2,5.75
Nome,US,1617995811,64.5011,-165.4064,1,65,-5.8,6.91
Beringovskiy,RU,1617995811,63.05,179.3167,100,94,5.49,12.77
Tubualá,PA,1617995811,9.5167,-79.0333,90,94,75.2,3.44
Vaini,TO,1617995812,-21.2,-175.2,75,88,73.4,4.61
Punta Arenas,CL,1617995812,-53.15,-70.9167,75,62,50.0,14.97
Kapaa,US,1617995813,22.0752,-159.319,20,64,75.2,10.36
Alice Springs,AU,1617995813,-23.7,133.8833,6,63,59.0,5.75
Sitka,US,1617995813,57.0531,-135.33,40,86,33.8,5.75
East London,ZA,1617995774,-33.0153,27.9116,20,100,62.6,1.14
Füzesgyarmat,HU,1617995814,47.1,21.2167,36,45,44.01,9.22
General Cepeda,MX,1617995814,25.3833,-101.45,1,23,86.0,9.22
Atuona,PF,1617995755,-9.8,-139.0333,46,78,80.82,17.6
Hue,VN,1617995815,16.4667,107.6,40,88,77.0,2.3
Bredasdorp,ZA,1617995669,-34.5322,20.0403,66,88,62.6,1.14
Ngaoundéré,CM,1617995816,7.3167,13.5833,100,44,76.06,5.64
Barrow,US,1617995705,71.2906,-156.7887,1,76,-14.8,12.66
Khatanga,RU,1617995675,71.9667,102.5,28,90,-16.06,4.21
Jamestown,US,1617995646,42.097,-79.2353,90,59,69.01,6.91
Provideniya,RU,1617995816,64.3833,-173.3,100,95,-0.74,10.29
Hermanus,ZA,1617995590,-34.4187,19.2345,48,88,64.0,6.87
Los Llanos de Aridane,ES,1617995817,28.6585,-17.9182,20,77,68.0,4.61
Bluff,NZ,1617995817,-46.6,168.3333,100,90,45.0,1.01
Bambous Virieux,MU,1617995818,-20.3428,57.7575,75,100,79.0,4.61
Umluj,SA,1617995818,25.0213,37.2685,0,59,73.94,7.16
Preobrazheniye,RU,1617995819,42.9019,133.9064,32,66,34.32,5.79
Qaanaaq,GL,1617995819,77.484,-69.3632,0,70,13.78,5.21
Malakal,SS,1617995820,9.5334,31.6605,1,14,95.41,3.04
Monterey,US,1617995728,36.2505,-121.2516,58,54,64.0,13.0
Ust-Maya,RU,1617995820,60.4167,134.5333,100,99,26.74,1.59
Livingston,GB,1617995640,55.9029,-3.5226,0,48,41.0,8.05
Avarua,CK,1617995821,-21.2078,-159.775,75,89,80.6,3.44
